rot_diff,rmsd
6.86673,11.9045
6.85805,12.1933
6.76315,12.3953
6.58491,12.5085
6.32873,12.5321
6.0749,12.4658
6.38127,12.3102
6.6159,12.0666
6.77166,11.7374
6.84382,11.3254
6.83018,10.8347
6.73117,10.2699
6.54979,9.63688
6.29154,8.94247
5.99888,8.19497
5.96213,7.40458
5.87023,6.58428
5.72209,5.75158
5.5222,4.93187
5.27663,4.16493
4.99283,3.51601
4.67942,3.08571
4.34591,2.98509
4.06855,3.24783
4.41859,3.79272
4.40709,4.25212
4.75773,5.08718
5.08008,5.94825
5.36435,6.80433
5.60193,7.63543
5.78559,8.42735
5.90976,9.16918
6.00743,9.85213
6.34453,10.4689
6.60518,11.0133
6.78147,11.4803
6.86803,11.8654
6.86225,12.1653
6.7643,12.3773
6.57716,12.4996
6.3065,12.5312
6.02676,12.4716
6.34336,12.3216
6.60438,12.0823
6.78106,11.7558
6.86805,11.3451
6.86269,10.8538
6.76516,10.2865
6.57841,9.6487
6.30811,8.94679
5.99609,8.18853
5.92696,7.38327
5.79405,6.54276
5.6014,5.68264
5.35486,4.82555
5.06191,4.00769
4.73144,3.29221
4.37349,2.78851
3.99892,2.6393
3.679,2.90406
4.03198,3.48342
4.0285,3.95621
4.40934,4.82306
4.76707,5.71195
5.09083,6.59248
5.3708,7.44555
5.59847,8.25767
5.76694,9.01845
5.91713,9.71943
6.27973,10.3535
6.56244,10.9146
6.75668,11.3977
6.85657,11.7984
6.85906,12.1133
6.76409,12.3398
6.57453,12.4758
6.29614,12.5202
5.9964,12.4727
6.27844,12.3337
6.56154,12.1043
6.75621,11.7864
6.85653,11.3829
6.85947,10.8972
6.76494,10.3335
6.5758,9.6971
6.2978,8.994
5.98242,8.23136
5.88042,7.41769
5.71067,6.56347
5.47832,5.68231
5.19041,4.79358
4.8557,3.92822
4.48433,3.14248
4.08758,2.54559
3.67749,2.31265
3.31937,2.55237
3.62892,3.1533
3.59868,3.63546
4.00328,4.52888
4.39109,5.44205
4.75033,6.34473
5.0701,7.2185
5.34069,8.05045
5.55389,8.83058
5.7686,9.55065
6.15036,10.2037
6.45016,10.7838
6.65888,11.2857
6.7702,11.7052
6.78074,12.0387
6.69018,12.2835
6.50126,12.4375
6.21973,12.4995
5.91791,12.4689
6.149,12.346
6.44919,12.1319
6.65835,11.8282
6.77012,11.4375
6.78113,10.9631
6.69102,10.409
6.50254,9.78009
6.22141,9.08203
5.91877,8.32143
5.78137,7.50605
5.57321,6.6452
5.3006,5.75062
4.97183,4.83842
4.59687,3.93368
4.1871,3.08239
3.75496,2.38193
3.31357,2.02664
2.93774,2.20222
3.18213,2.80688
3.13068,3.29384
3.55189,4.20826
3.96356,5.14213
4.35319,6.06469
4.70896,6.95792
5.02007,7.80928
5.27707,8.60903
5.56634,9.34911
5.96037,10.0226
6.27175,10.6236
6.49104,11.1468
6.61157,11.5879
6.62968,11.9433
6.54483,12.2101
6.35959,12.386
6.07959,12.4697
5.80606,12.4604
5.95895,12.3583
6.27073,12.1642
6.49046,11.8797
6.61145,11.507
6.63003,11.0492
6.54565,10.5101
6.36086,9.89432
6.08127,9.20708
5.80708,8.45455
5.6328,7.64385
5.38583,6.78332
5.07365,5.88315
4.70575,4.95664
4.29329,4.02356
3.84878,3.11895
3.38574,2.3197
2.91819,1.81117
2.55103,1.86806
2.70519,2.45002
2.6387,2.93631
3.06886,3.86561
3.49745,4.8166
3.91148,5.75684
4.29836,6.66828
4.64635,7.53859
4.9449,8.35815
5.31649,9.11898
5.71552,9.81417
6.03264,10.4377
6.25824,10.9843
6.38547,11.4496
6.41046,11.8296
6.33245,12.1214
6.15382,12.3226
5.87998,12.4315
5.64956,12.4474
5.71407,12.3702
6.0316,12.2003
6.25763,11.9392
6.38532,11.589
6.41078,11.1525
6.33324,10.6332
6.15505,10.0353
5.88163,9.36395
5.65074,8.62479
5.43924,7.82443
5.15422,6.97046
4.80435,6.07185
4.40025,5.13979
3.95417,4.18984
3.47966,3.24784
2.99112,2.36878
2.50338,1.70078
2.15988,1.57338
2.21257,2.09103
2.13768,2.5694
2.56886,3.50647
3.00693,4.47087
3.43859,5.42661
3.85075,6.35506
4.23088,7.24378
4.56746,8.08321
5.02664,8.86532
5.42324,9.58315
5.74009,10.2306
5.96757,10.8023
6.09877,11.2936
6.12973,11.7005
6.05949,12.0198
5.89018,12.249
5.62695,12.3862
5.45315,12.4304
5.4218,12.3812
5.73904,12.239
5.96694,12.005
6.0986,11.6809
6.13002,11.2694
6.06023,10.7737
5.89137,10.1978
5.62856,9.54645
5.4545,8.82501
5.20655,8.03965
4.88543,7.19737
4.50088,6.30626
4.0646,5.376
3.5898,4.41924
3.09092,3.45514
2.58309,2.52131
2.08172,1.71929
1.77615,1.35579
1.71924,1.74285
1.64285,2.20237
2.06708,3.138
2.50688,4.1117
2.9489,5.08069
3.37972,6.02484
3.78627,6.93134
4.25426,7.79046
4.7056,8.59409
5.09241,9.33515
5.40297,10.0074
5.62784,10.6053
5.76019,11.124
5.79602,11.5595
5.73423,11.9081
5.57669,12.1673
5.42546,12.3349
5.22281,12.4097
5.09101,12.3911
5.40194,12.2791
5.62722,12.0748
5.76001,11.7796
5.79628,11.3959
5.73493,10.9268
5.57783,10.3759
5.42659,9.74776
5.22432,9.04736
4.9418,8.28054
4.5876,7.45387
4.17246,6.57479
3.70899,5.65198
3.21126,4.69613
2.69438,3.72215
2.17403,2.75608
1.76247,1.86236
1.41151,1.2637
1.24018,1.42773
1.16921,1.84957
1.57874,2.76989
2.01248,3.74775
