design name, Legal placement of GU-pairs, Direction of GC-pairs in multiloops, 1-1 Loop Energy V1, Tetraloop similarity, Loops & Stacks, Energy Limit in Tetraloops, Closing GC pairs in 3-1 internal loops, Eli Blue line, Mismatch, Clean plot  stack caps  and safe GC, No Blue Nucleotides in Hook Area, Direction of GC-pairs in multiloops + neckarea, Loop pattern for small multiloops, The 1-1 Loop V1, Berex Loop Basic, Repetition, Green and blue nucleotides a strand + Strong middle half, G's in place of the last A's on the right hand side of any end loop, Ding quad energy, Twisted Basepairs, JP-Stratmark, Eli Green line, Double AU-pair strategy, Tests by Region - boundaries, Multiloop similarity, No blue nucleotides in multiloop ring, Tests by Region - loops, Wrong Direction of GC-pairs in multiloops, Eli Red line, [Example] 60% of pairs should be GC pairs, Tetraloop Pattern, A basic test, Tetraloop blues, Only As in the loops, GC-pairs in junctions, Test by kkohli, Clean Dot Plot, Berex Test, Numbers of yellow nucleotides pr length of string, deivad's strategy, chemical reactivity score
NUPACK design 03, 79.859758, 89.334365, 80.000000, 0.000000, 79.505041, 91.696742, N/A, 100.000000, 87.356764, 90.164775, 100.000000, 89.334365, 84.050636, 80.000000, 80.000000, 79.728483, 100.000000, 81.000000, 100.000000, 94.000000, 81.346101, 100.000000, 100.000000, 97.000000, 98.949585, 100.000000, 36.000000, 94.960352, 100.000000, 90.001184, 84.953125, 86.743457, 100.000000, 81.000000, 100.000000, 100.000000, 99.952657, 76.711375, 100.000000, 83.021712, 92.000000
NUPACK design 04, 79.859758, 89.334365, 83.492505, 60.000000, 82.080613, 83.393483, N/A, 100.000000, 83.582490, 88.719006, 94.217676, 89.334365, 85.659576, 82.483287, 81.672033, 72.630482, 100.000000, 82.000000, 100.000000, 94.000000, 81.346101, 84.513086, 100.000000, 98.000000, 93.697510, 94.476074, 71.000000, 94.960352, 84.689258, 93.031487, 84.953125, 88.672370, 88.809766, 79.000000, 100.000000, 100.000000, 99.942458, 75.594071, 92.589521, 88.638541, 90.000000
ViennaRNA design 01, 81.055229, 89.334365, 80.000000, 100.000000, 70.235460, 75.090225, N/A, 100.000000, 80.645003, 66.938820, 88.435352, 89.334365, 85.659576, 80.000000, 80.000000, 73.287772, 100.000000, 80.000000, 70.535576, 98.000000, 74.917963, 100.000000, 92.797168, 100.000000, 94.747925, 94.476074, 75.000000, 94.960352, 100.000000, 61.513968, 84.953125, 66.464491, 88.809766, 79.000000, 74.147266, 75.801917, 99.764470, 76.413679, 70.358085, 73.945513, 85.000000
ViennaRNA design 02, 76.196657, 83.450471, 80.000000, 0.000000, 79.529673, 83.393483, N/A, 87.809766, 75.079090, 70.284035, 94.217676, 83.450471, 81.474938, 80.000000, 80.000000, 77.709634, 87.360254, 81.000000, 63.822315, 92.000000, 78.132032, 100.000000, 71.188672, 98.000000, 97.899170, 100.000000, 70.000000, 87.400879, 84.689258, 70.604877, 84.953125, 74.968441, 100.000000, 81.000000, 87.073633, 84.542320, 99.906003, 79.567241, 100.000000, 81.692095, 80.000000
ViennaRNA design 03, 76.370426, 77.566577, 80.000000, 60.000000, 79.714414, 75.090225, N/A, 100.000000, 83.085102, 68.805801, 100.000000, 77.566577, 77.290300, 80.000000, 80.000000, 76.395053, 87.360254, 81.000000, 65.475407, 96.000000, 76.524997, 100.000000, 92.797168, 98.000000, 92.647095, 100.000000, 65.000000, 79.841406, 100.000000, 73.635180, 84.953125, 86.148957, 88.809766, 80.000000, 87.073633, 86.762516, 99.887136, 77.998502, 100.000000, 79.189995, 76.000000
ViennaRNA design 04, 87.984867, 89.334365, 80.000000, 60.000000, 76.581972, 75.090225, N/A, 100.000000, 74.860289, 73.003121, 88.435352, 89.334365, 85.659576, 78.608855, 80.000000, 70.237750, 62.080762, 80.000000, 73.711029, 96.000000, 76.524997, 100.000000, 92.797168, 99.000000, 89.495850, 94.476074, 67.000000, 94.960352, 84.689258, 73.635180, 84.953125, 73.039529, 100.000000, 79.000000, 78.456055, 82.837818, 99.880355, 76.219377, 85.179042, 72.871047, 88.000000
-87.8 kCal  lowest I got, 79.859758, 100.000000, 83.492505, 100.000000, 57.570634, 100.000000, N/A, 100.000000, 77.292306, 95.747559, 100.000000, 100.000000, 85.659576, 82.483287, 81.672033, 76.387741, 100.000000, 83.000000, 100.000000, 82.000000, 81.346101, -23.895313, 100.000000, 94.000000, 100.000000, 100.000000, -14.000000, 89.920703, -22.485937, 68.789062, 84.953125, 50.010442, 100.000000, 86.000000, 100.000000, 91.714193, 99.939972, 24.656160, 48.126648, 93.516278, 10.000000
No consecutive G/C pairings (rv3), 81.195766, 77.842115, 80.000000, 60.000000, 87.042919, 100.000000, N/A, 100.000000, 84.003247, 72.677681, 94.217676, 77.842115, 79.382619, 82.675097, 80.000000, 80.898922, 49.441016, 80.000000, 72.985993, 98.000000, 79.739067, 100.000000, 92.797168, 100.000000, 92.647095, 94.476074, 91.000000, 84.881055, 100.000000, 70.604877, 84.953125, 85.080882, 88.809766, 81.000000, 95.691211, 96.104287, 99.793459, 78.754778, 92.589521, 81.141021, 82.000000
Maelstrom's Tempest, 86.150686, 89.334365, 83.492505, 60.000000, 98.284319, 100.000000, N/A, 100.000000, 80.205893, 84.493868, 100.000000, 89.334365, 85.659576, 82.483287, 81.672033, 79.940164, 87.360254, 83.000000, 94.214796, 97.000000, 79.739067, 100.000000, 92.797168, 99.000000, 97.899170, 100.000000, 50.000000, 94.960352, 100.000000, 76.665483, 84.953125, 90.254667, 100.000000, 86.000000, 100.000000, 100.000000, 99.941811, 83.845171, 100.000000, 89.511219, 88.000000
42 - the final answer?, 55.019187, 83.450471, 83.492505, 100.000000, 59.667626, 100.000000, N/A, 63.429297, 77.918373, 65.418956, 100.000000, 83.450471, 81.474938, 82.483287, 81.672033, 84.405394, 87.360254, 83.000000, 50.526525, 92.000000, 74.917963, 100.000000, 92.797168, 98.000000, 98.949585, 100.000000, 80.000000, 87.400879, 84.689258, 46.362453, 84.953125, 77.014610, 100.000000, 87.000000, 82.764844, 81.265192, 99.734487, 77.153857, 92.589521, 76.846758, 65.000000
Lowest possible Melting point Highest possible Free energy  Final Revision, 58.767582, 83.450471, 83.492505, 100.000000, 75.249730, 100.000000, N/A, 63.429297, 79.840881, 67.881855, 100.000000, 83.450471, 81.474938, 82.483287, 81.672033, 82.669953, 87.360254, 83.000000, 53.948686, 93.000000, 74.917963, 100.000000, 100.000000, 98.000000, 93.697510, 100.000000, 80.000000, 87.400879, 84.689258, 52.423059, 84.953125, 77.935909, 100.000000, 87.000000, 87.073633, 87.533798, 99.640435, 80.917537, 85.179042, 79.942914, 65.000000
